epoch,batch,train_loss,val_loss
0,0,35.50666427612305,38.302589416503906
1,0,34.521942138671875,38.07663345336914
2,0,33.56224822998047,37.85001754760742
3,0,32.619728088378906,37.622596740722656
4,0,31.687551498413086,37.39430618286133
5,0,30.760211944580078,37.164390563964844
6,0,29.833669662475586,36.93168258666992
7,0,28.90550994873047,36.6951904296875
8,0,27.97535514831543,36.45413589477539
9,0,27.045391082763672,36.207984924316406
10,0,26.120906829833984,35.95634078979492
11,0,25.210628509521484,35.6989860534668
12,0,24.326223373413086,35.436580657958984
13,0,23.480205535888672,35.17109680175781
14,0,22.681930541992188,34.90608596801758
15,0,21.933088302612305,34.64625930786133
16,0,21.22524642944336,34.396183013916016
17,0,20.542465209960938,34.15890121459961
18,0,19.868186950683594,33.9352912902832
19,0,19.191532135009766,33.72431182861328
19,0,19.191532135009766,46.418907165527344
