epoch,batch,train_loss,val_loss
0,0,15.503395080566406,17.385576248168945
1,0,15.246078491210938,17.308948516845703
2,0,15.032862663269043,17.24506378173828
3,0,14.594999313354492,17.182952880859375
4,0,14.452471733093262,17.120027542114258
5,0,14.06381607055664,17.057279586791992
6,0,13.569944381713867,16.99596405029297
7,0,13.68764877319336,16.93086051940918
8,0,13.449542045593262,16.868942260742188
9,0,12.947848320007324,16.80582046508789
10,0,12.426398277282715,16.741432189941406
11,0,12.382890701293945,16.673080444335938
12,0,11.822134017944336,16.605430603027344
13,0,11.689373016357422,16.538406372070312
14,0,11.359115600585938,16.47152328491211
15,0,10.825479507446289,16.403724670410156
16,0,11.140260696411133,16.335424423217773
17,0,10.809924125671387,16.264251708984375
18,0,10.21467113494873,16.190492630004883
19,0,10.058002471923828,16.113006591796875
19,0,10.058002471923828,21.77365493774414
