epoch,batch,train_loss,val_loss
0,0,35.37252426147461,37.43366241455078
1,0,34.58949661254883,37.25983428955078
2,0,33.82296371459961,37.08623504638672
3,0,33.07151412963867,36.911659240722656
4,0,32.33332824707031,36.73442840576172
5,0,31.606130599975586,36.55302047729492
6,0,30.886892318725586,36.3660774230957
7,0,30.17183494567871,36.172306060791016
8,0,29.4565486907959,35.97026062011719
9,0,28.736068725585938,35.7581901550293
10,0,28.00510025024414,35.53427505493164
11,0,27.258407592773438,35.29684066772461
12,0,26.49132537841797,35.044471740722656
13,0,25.700185775756836,34.77581024169922
14,0,24.882556915283203,34.48956298828125
15,0,24.037376403808594,34.184452056884766
16,0,23.165075302124023,33.85922622680664
17,0,22.267683029174805,33.51261901855469
18,0,21.348949432373047,33.1432991027832
19,0,20.414527893066406,32.75006866455078
19,0,20.414527893066406,51.439456939697266
