epoch,batch,train_loss,val_loss
0,0,35.44574737548828,39.75886535644531
1,0,34.71885299682617,39.598812103271484
2,0,34.003082275390625,39.43695068359375
3,0,33.29254913330078,39.27177429199219
4,0,32.58125305175781,39.10134506225586
5,0,31.86343002319336,38.92416763305664
6,0,31.13372802734375,38.73906707763672
7,0,30.387466430664062,38.544857025146484
8,0,29.620712280273438,38.34027099609375
9,0,28.83032989501953,38.12401580810547
10,0,28.01400375366211,37.8948974609375
11,0,27.1702938079834,37.6519660949707
12,0,26.298828125,37.394527435302734
13,0,25.400615692138672,37.12209701538086
14,0,24.478445053100586,36.83452224731445
15,0,23.537315368652344,36.53204345703125
16,0,22.584712982177734,36.215476989746094
17,0,21.6304931640625,35.88655471801758
18,0,20.68598175048828,35.54840087890625
19,0,19.761850357055664,35.2056999206543
19,0,19.761850357055664,46.98136520385742
