epoch,batch,train_loss,val_loss
0,0,53.4910888671875,59.93519592285156
1,0,52.27854919433594,59.62110900878906
2,0,51.094627380371094,59.30723571777344
3,0,49.93529510498047,58.98988723754883
4,0,48.797088623046875,58.66571044921875
5,0,47.67749786376953,58.33134460449219
6,0,46.574790954589844,57.98337936401367
7,0,45.487388610839844,57.618492126464844
8,0,44.41313934326172,57.23360824584961
9,0,43.349021911621094,56.82593536376953
10,0,42.29169464111328,56.392845153808594
11,0,41.238338470458984,55.931922912597656
12,0,40.18699645996094,55.44113540649414
13,0,39.136314392089844,54.91893768310547
14,0,38.084957122802734,54.36427307128906
15,0,37.031005859375,53.776344299316406
16,0,35.971649169921875,53.154449462890625
17,0,34.90331268310547,52.49785232543945
18,0,33.82223892211914,51.805694580078125
19,0,32.7253303527832,51.07704162597656
19,0,32.7253303527832,83.93865203857422
